"ID" "SEX" "AGE" "EDUC" "STATUS" "INCOME" "GRADE"
1 "Male" 31 2 1 4700 2.43
2 "Male" 21 1 1 2200 3
3 "Female" 37 1 2 2900 2.57
4 "Male" 30 2 2 3000 2.89
5 "Male" 46 1 2 3700 2.67
6 "Male" 23 2 1 3400 3.23
7 "Female" 36 4 3 5300 3.27
8 "Female" 22 2 1 3900 2.79
9 "Male" 43 3 2 6700 2.98
10 "Male" 31 1 4 2900 2.46
11 "Male" 33 3 2 4800 2.89
12 "Female" 50 2 3 7000 3.23
13 "Male" 24 3 1 5700 2.78
14 "Female" 41 2 2 5900 2.99
15 "Male" 37 1 2 3800 3.44
16 "Female" 25 3 1 4000 3.76
17 "Male" 45 9 3 4300 2.98
18 "Male" 51 2 2 4800 2.69
19 "Male" 47 3 2 5600 3
20 "Male" 34 1 2 3800 3.56
21 "Male" 36 2 2 4100 3.21
22 "Female" 26 2 1 5400 2.98
23 "Male" 42 1 2 3900 3.7
24 "Female" 25 2 1 4100 2.98
25 "Male" 39 4 4 7800 2.78
26 "Female" 45 2 1 5100 3.32
27 "Female" 31 1 2 3300 3.44
28 "Female" 52 1 2 5400 3.56
29 "Male" 38 1 2 3600 2.89
30 "Male" 28 2 2 3500 2.98
31 "Male" 35 3 1 4700 2.45
32 "Female" 30 4 3 4800 3.56
33 "Female" 44 2 3 4900 2.99
34 "Male" 22 2 1 2400 3.07
35 "Male" 34 1 2 3600 3.67
36 "Male" 52 1 2 5700 2.34
37 "Male" 37 2 4 5500 3.78
38 "Female" 29 3 1 4100 3.89
39 "Female" 48 1 2 5400 3.67
40 "Male" 99 1 2 9999 2.78
41 "Female" 33 2 9 9999 3
42 "Female" 45 3 4 8300 3.45
43 "Female" 38 1 4 7700 3.89
44 "Female" 23 3 1 3900 3.67
45 "Male" 34 2 4 4500 2.56
46 "Male" 50 2 2 6700 2.69
47 "Female" 43 2 2 4700 3.56
48 "Female" 37 3 2 3900 3
49 "Male" 24 2 1 3300 2.45
50 "Male" 46 2 2 4900 2.45
51 "Male" 32 1 1 4000 3.87
52 "Male" 42 2 3 6600 3.67
53 "Male" 38 4 2 8000 3.23
54 "Female" 41 2 3 7000 3.45
55 "Female" 99 1 9 2000 3.21
56 "Male" 54 2 2 7400 3
57 "Female" 32 3 9 6200 2.56
58 "Male" 43 1 2 4700 2.45
59 "Female" 22 1 1 3400 3.78
60 "Male" 40 2 2 5900 2.67
61 "Male" 37 4 9 7500 3.45
62 "Male" 28 1 1 3100 2.78
63 "Male" 44 3 2 6800 2.56
64 "Male" 56 2 2 6400 2.78
65 "Male" 35 3 1 5800 3.33
66 "Female" 42 1 2 3900 2.56
67 "Male" 21 2 1 4700 2.67
68 "Male" 39 2 2 5900 2.89
69 "Male" 45 1 2 4900 2.56
70 "Male" 31 1 2 3100 3.23
71 "Male" 51 2 3 5400 3.01
72 "Male" 23 3 1 6300 2.77
73 "Male" 40 3 2 7100 2.89
74 "Male" 47 2 3 6600 2.77
75 "Male" 53 2 2 7200 2.31
76 "Female" 27 2 1 1700 2.67
77 "Male" 29 4 1 5000 2.89
78 "Male" 40 3 2 6000 3.67
79 "Female" 30 1 1 3000 2.56
80 "Female" 53 2 2 4700 3
81 "Male" 31 1 1 2800 2.74
82 "Male" 45 2 2 5700 2.67
83 "Male" 22 2 4 4300 3.07
84 "Female" 34 1 1 3900 2.56
85 "Female" 33 3 2 6700 2.12
86 "Male" 54 2 2 4800 2.66
87 "Female" 36 2 1 3900 2.99
88 "Male" 25 3 4 4200 3.78
89 "Female" 42 4 2 8500 3.67
90 "Male" 31 3 1 7100 2.33
91 "Male" 46 1 2 4700 2.67
92 "Male" 22 2 1 9999 2.99
93 "Male" 46 9 2 9999 2.34
94 "Female" 39 2 2 5200 2.78
95 "Male" 99 3 3 5700 2.67
96 "Male" 44 1 2 3200 3.67
97 "Female" 33 2 4 4000 3.07
98 "Male" 43 1 2 4300 2.56
99 "Female" 39 1 4 3800 2.56
100 "Male" 40 2 2 5400 2.89
