sex age period CancerCM POP
1 0 1 82 1842884
1 0 2 75 1688622
1 0 3 69 1598306
1 0 4 64 1569498
1 0 5 70 1613362
1 0 6 52 1592844
1 0 7 74 1679661
1 0 8 64 1702179
1 0 9 69 1752964
1 0 10 67 1819959
1 0 11 57 1845697
1 0 12 65 1863698
1 0 13 71 1867842
1 0 14 60 1827580
1 0 15 57 1882257
1 0 16 55 1893241
1 0 17 51 1894817
1 0 18 46 1921656
1 0 19 50 1972743
1 0 20 49 2039510
1 0 21 45 2047816
1 0 22 52 2030390
1 0 23 56 1995451
1 0 24 29 1964865
1 0 25 36 1941251
1 0 26 43 1917647
1 0 27 45 1920124
1 0 28 43 1928364
1 0 29 37 1943639
1 0 30 50 1974528
1 0 31 32 2057232
1 0 32 42 2042925
1 0 33 34 2045536
1 0 34 37 2092783
1 0 35 45 2098350
1 0 36 39 2137592
1 1 1 109 1778185
1 1 2 97 1823076
1 1 3 101 1664339
1 1 4 71 1570345
1 1 5 65 1537368
1 1 6 69 1574751
1 1 7 91 1548926
1 1 8 76 1627354
1 1 9 70 1642762
1 1 10 94 1697003
1 1 11 79 1757899
1 1 12 80 1785996
1 1 13 76 1806495
1 1 14 70 1814369
1 1 15 58 1779251
1 1 16 58 1835834
1 1 17 60 1850092
1 1 18 60 1856284
1 1 19 79 1885113
1 1 20 64 1944681
1 1 21 53 2024442
1 1 22 48 2034418
1 1 23 60 2020932
1 1 24 54 1988660
1 1 25 64 1961702
1 1 26 42 1940719
1 1 27 54 1919667
1 1 28 38 1925689
1 1 29 36 1935918
1 1 30 51 1945201
1 1 31 41 1976954
1 1 32 47 2059579
1 1 33 46 2045235
1 1 34 43 2064111
1 1 35 55 2094265
1 1 36 40 2099912
1 2 1 133 1707607
1 2 2 99 1754942
1 2 3 118 1801880
1 2 4 109 1647899
1 2 5 96 1558624
1 2 6 98 1528249
1 2 7 94 1567180
1 2 8 88 1544519
1 2 9 72 1624899
1 2 10 73 1641032
1 2 11 116 1693434
1 2 12 81 1755756
1 2 13 99 1784618
1 2 14 94 1807001
1 2 15 73 1817388
1 2 16 85 1784171
1 2 17 79 1842904
1 2 18 78 1860612
1 2 19 61 1868697
1 2 20 66 1899603
1 2 21 67 1948696
1 2 22 71 2029513
1 2 23 84 2041384
1 2 24 82 2027729
1 2 25 66 1995787
1 2 26 73 1968442
1 2 27 57 1948999
1 2 28 52 1927783
1 2 29 56 1933079
1 2 30 55 1955513
1 2 31 56 1949764
1 2 32 58 1981541
1 2 33 54 2064131
1 2 34 48 2041861
1 2 35 53 2067665
1 2 36 48 2097909
1 3 1 166 1702135
1 3 2 125 1729006
1 3 3 143 1777555
1 3 4 122 1825770
1 3 5 115 1672052
1 3 6 97 1582492
1 3 7 95 1551964
1 3 8 105 1593363
1 3 9 93 1571224
1 3 10 106 1656800
1 3 11 88 1666984
1 3 12 120 1717396
1 3 13 96 1777030
1 3 14 81 1803180
1 3 15 101 1822821
1 3 16 93 1830662
1 3 17 88 1794476
1 3 18 70 1851411
1 3 19 77 1865412
1 3 20 84 1871983
1 3 21 101 1903670
1 3 22 64 1957386
1 3 23 82 2043026
1 3 24 87 2057119
1 3 25 78 2046875
1 3 26 64 2016892
1 3 27 64 1993574
1 3 28 48 1976379
1 3 29 64 1956253
1 3 30 63 1950559
1 3 31 74 1961448
1 3 32 55 1955718
1 3 33 56 1987455
1 3 34 68 2067986
1 3 35 56 2046564
1 3 36 61 2072510
1 4 1 149 1765616
1 4 2 140 1732055
1 4 3 160 1759251
1 4 4 139 1808096
1 4 5 127 1858627
1 4 6 94 1702437
1 4 7 94 1610944
1 4 8 81 1581422
1 4 9 90 1623880
1 4 10 78 1599421
1 4 11 100 1676077
1 4 12 73 1686569
1 4 13 107 1737493
1 4 14 73 1798167
1 4 15 83 1825241
1 4 16 91 1845681
1 4 17 79 1854258
1 4 18 78 1819425
1 4 19 67 1876896
1 4 20 72 1893851
1 4 21 72 1903750
1 4 22 72 1938577
1 4 23 79 1996029
1 4 24 68 2083388
1 4 25 85 2098853
1 4 26 72 2089323
1 4 27 69 2061636
1 4 28 54 2038778
1 4 29 73 2020919
1 4 30 64 2004656
1 4 31 58 1957899
1 4 32 59 1968803
1 4 33 73 1963058
1 4 34 54 1992133
1 4 35 53 2073862
1 4 36 58 2052603
1 5 1 178 1814863
1 5 2 144 1768012
1 5 3 139 1733648
1 5 4 118 1759446
1 5 5 129 1808967
1 5 6 136 1858764
1 5 7 125 1701703
1 5 8 72 1611500
1 5 9 111 1581859
1 5 10 82 1627209
1 5 11 94 1599336
1 5 12 115 1675690
1 5 13 94 1685561
1 5 14 77 1736786
1 5 15 77 1798198
1 5 16 73 1825479
1 5 17 77 1846700
1 5 18 74 1856991
1 5 19 79 1822061
1 5 20 87 1886255
1 5 21 86 1900261
1 5 22 67 1912261
1 5 23 85 1949402
1 5 24 69 2005393
1 5 25 64 2091867
1 5 26 62 2106895
1 5 27 67 2099999
1 5 28 69 2072627
1 5 29 72 2048870
1 5 30 66 2023452
1 5 31 45 2013536
1 5 32 63 1966784
1 5 33 64 1977675
1 5 34 65 1967302
1 5 35 50 1999277
1 5 36 56 2081193
1 6 1 172 1924328
1 6 2 148 1823972
1 6 3 147 1775904
1 6 4 142 1739690
1 6 5 109 1765972
1 6 6 141 1814421
1 6 7 128 1862542
1 6 8 107 1706027
1 6 9 101 1615247
1 6 10 89 1590999
1 6 11 74 1631031
1 6 12 83 1602374
1 6 13 78 1677322
1 6 14 79 1686787
1 6 15 92 1737754
1 6 16 93 1798421
1 6 17 88 1825219
1 6 18 84 1846815
1 6 19 58 1855974
1 6 20 70 1822535
1 6 21 58 1885601
1 6 22 70 1900924
1 6 23 65 1914462
1 6 24 67 1950097
1 6 25 65 2005556
1 6 26 78 2092341
1 6 27 57 2106938
1 6 28 58 2100492
1 6 29 65 2071922
1 6 30 63 2056967
1 6 31 54 2032792
1 6 32 67 2022882
1 6 33 62 1976125
1 6 34 57 1973795
1 6 35 53 1974832
1 6 36 52 2007002
1 7 1 129 2029736
1 7 2 138 1946311
1 7 3 115 1848116
1 7 4 132 1801922
1 7 5 105 1769713
1 7 6 107 1799189
1 7 7 93 1850960
1 7 8 97 1905153
1 7 9 103 1748870
1 7 10 111 1660137
1 7 11 84 1620089
1 7 12 128 1657479
1 7 13 75 1625218
1 7 14 76 1698460
1 7 15 64 1705710
1 7 16 63 1754430
1 7 17 86 1812782
1 7 18 56 1837517
1 7 19 72 1855559
1 7 20 65 1863790
1 7 21 58 1832932
1 7 22 74 1899185
1 7 23 80 1917930
1 7 24 67 1932198
1 7 25 49 1969564
1 7 26 58 2027769
1 7 27 70 2117903
1 7 28 64 2133781
1 7 29 48 2128808
1 7 30 48 2094623
1 7 31 47 2066011
1 7 32 60 2041859
1 7 33 59 2031932
1 7 34 62 1985755
1 7 35 54 1981128
1 7 36 47 1982318
1 8 1 141 2026653
1 8 2 131 2002702
1 8 3 111 1915608
1 8 4 122 1813938
1 8 5 92 1765690
1 8 6 101 1729528
1 8 7 100 1753341
1 8 8 88 1801291
1 8 9 74 1850438
1 8 10 103 1702308
1 8 11 78 1606578
1 8 12 77 1566118
1 8 13 72 1600616
1 8 14 72 1568656
1 8 15 69 1639115
1 8 16 59 1644732
1 8 17 75 1691020
1 8 18 75 1747411
1 8 19 66 1769440
1 8 20 62 1795717
1 8 21 69 1810044
1 8 22 55 1788464
1 8 23 53 1861423
1 8 24 60 1885742
1 8 25 62 1906153
1 8 26 52 1951052
1 8 27 57 2017297
1 8 28 43 2114161
1 8 29 53 2135753
1 8 30 56 2138227
1 8 31 59 2103531
1 8 32 51 2074928
1 8 33 54 2050769
1 8 34 57 2031648
1 8 35 56 1992941
1 8 36 55 1988493
1 9 1 130 2090131
1 9 2 109 2065242
1 9 3 116 2044981
1 9 4 105 1959733
1 9 5 92 1861225
1 9 6 99 1814684
1 9 7 109 1780461
1 9 8 82 1810557
1 9 9 86 1864343
1 9 10 92 1910761
1 9 11 80 1757431
1 9 12 84 1665080
1 9 13 57 1629348
1 9 14 57 1672566
1 9 15 49 1647363
1 9 16 75 1727499
1 9 17 63 1742641
1 9 18 72 1799745
1 9 19 65 1867371
1 9 20 46 1885545
1 9 21 65 1930241
1 9 22 60 1935243
1 9 23 46 1902411
