"";"sex";"age";"period";"CancerCM";"POP"
"1";1;0;1;82;1842884
"2";1;0;2;75;1688622
"3";1;0;3;69;1598306
"4";1;0;4;64;1569498
"5";1;0;5;70;1613362
"6";1;0;6;52;1592844
"7";1;0;7;74;1679661
"8";1;0;8;64;1702179
"9";1;0;9;69;1752964
"10";1;0;10;67;1819959
"11";1;0;11;57;1845697
"12";1;0;12;65;1863698
"13";1;0;13;71;1867842
"14";1;0;14;60;1827580
"15";1;0;15;57;1882257
"16";1;0;16;55;1893241
"17";1;0;17;51;1894817
"18";1;0;18;46;1921656
"19";1;0;19;50;1972743
"20";1;0;20;49;2039510
"21";1;0;21;45;2047816
"22";1;0;22;52;2030390
"23";1;0;23;56;1995451
"24";1;0;24;29;1964865
"25";1;0;25;36;1941251
"26";1;0;26;43;1917647
"27";1;0;27;45;1920124
"28";1;0;28;43;1928364
"29";1;0;29;37;1943639
"30";1;0;30;50;1974528
"31";1;0;31;32;2057232
"32";1;0;32;42;2042925
"33";1;0;33;34;2045536
"34";1;0;34;37;2092783
"35";1;0;35;45;2098350
"36";1;0;36;39;2137592
"37";1;1;1;109;1778185
"38";1;1;2;97;1823076
"39";1;1;3;101;1664339
"40";1;1;4;71;1570345
"41";1;1;5;65;1537368
"42";1;1;6;69;1574751
"43";1;1;7;91;1548926
"44";1;1;8;76;1627354
"45";1;1;9;70;1642762
"46";1;1;10;94;1697003
"47";1;1;11;79;1757899
"48";1;1;12;80;1785996
"49";1;1;13;76;1806495
"50";1;1;14;70;1814369
"51";1;1;15;58;1779251
"52";1;1;16;58;1835834
"53";1;1;17;60;1850092
"54";1;1;18;60;1856284
"55";1;1;19;79;1885113
"56";1;1;20;64;1944681
"57";1;1;21;53;2024442
"58";1;1;22;48;2034418
"59";1;1;23;60;2020932
"60";1;1;24;54;1988660
"61";1;1;25;64;1961702
"62";1;1;26;42;1940719
"63";1;1;27;54;1919667
"64";1;1;28;38;1925689
"65";1;1;29;36;1935918
"66";1;1;30;51;1945201
"67";1;1;31;41;1976954
"68";1;1;32;47;2059579
"69";1;1;33;46;2045235
"70";1;1;34;43;2064111
"71";1;1;35;55;2094265
"72";1;1;36;40;2099912
"73";1;2;1;133;1707607
"74";1;2;2;99;1754942
"75";1;2;3;118;1801880
"76";1;2;4;109;1647899
"77";1;2;5;96;1558624
"78";1;2;6;98;1528249
"79";1;2;7;94;1567180
"80";1;2;8;88;1544519
"81";1;2;9;72;1624899
"82";1;2;10;73;1641032
"83";1;2;11;116;1693434
"84";1;2;12;81;1755756
"85";1;2;13;99;1784618
"86";1;2;14;94;1807001
"87";1;2;15;73;1817388
"88";1;2;16;85;1784171
"89";1;2;17;79;1842904
"90";1;2;18;78;1860612
"91";1;2;19;61;1868697
"92";1;2;20;66;1899603
"93";1;2;21;67;1948696
"94";1;2;22;71;2029513
"95";1;2;23;84;2041384
"96";1;2;24;82;2027729
"97";1;2;25;66;1995787
"98";1;2;26;73;1968442
"99";1;2;27;57;1948999
"100";1;2;28;52;1927783
"101";1;2;29;56;1933079
"102";1;2;30;55;1955513
"103";1;2;31;56;1949764
"104";1;2;32;58;1981541
"105";1;2;33;54;2064131
"106";1;2;34;48;2041861
"107";1;2;35;53;2067665
"108";1;2;36;48;2097909
"109";1;3;1;166;1702135
"110";1;3;2;125;1729006
"111";1;3;3;143;1777555
"112";1;3;4;122;1825770
"113";1;3;5;115;1672052
"114";1;3;6;97;1582492
"115";1;3;7;95;1551964
"116";1;3;8;105;1593363
"117";1;3;9;93;1571224
"118";1;3;10;106;1656800
"119";1;3;11;88;1666984
"120";1;3;12;120;1717396
"121";1;3;13;96;1777030
"122";1;3;14;81;1803180
"123";1;3;15;101;1822821
"124";1;3;16;93;1830662
"125";1;3;17;88;1794476
"126";1;3;18;70;1851411
"127";1;3;19;77;1865412
"128";1;3;20;84;1871983
"129";1;3;21;101;1903670
"130";1;3;22;64;1957386
"131";1;3;23;82;2043026
"132";1;3;24;87;2057119
"133";1;3;25;78;2046875
"134";1;3;26;64;2016892
"135";1;3;27;64;1993574
"136";1;3;28;48;1976379
"137";1;3;29;64;1956253
"138";1;3;30;63;1950559
"139";1;3;31;74;1961448
"140";1;3;32;55;1955718
"141";1;3;33;56;1987455
"142";1;3;34;68;2067986
"143";1;3;35;56;2046564
"144";1;3;36;61;2072510
"145";1;4;1;149;1765616
"146";1;4;2;140;1732055
"147";1;4;3;160;1759251
"148";1;4;4;139;1808096
"149";1;4;5;127;1858627
"150";1;4;6;94;1702437
"151";1;4;7;94;1610944
"152";1;4;8;81;1581422
"153";1;4;9;90;1623880
"154";1;4;10;78;1599421
"155";1;4;11;100;1676077
"156";1;4;12;73;1686569
"157";1;4;13;107;1737493
"158";1;4;14;73;1798167
"159";1;4;15;83;1825241
"160";1;4;16;91;1845681
"161";1;4;17;79;1854258
"162";1;4;18;78;1819425
"163";1;4;19;67;1876896
"164";1;4;20;72;1893851
"165";1;4;21;72;1903750
"166";1;4;22;72;1938577
"167";1;4;23;79;1996029
"168";1;4;24;68;2083388
"169";1;4;25;85;2098853
"170";1;4;26;72;2089323
"171";1;4;27;69;2061636
"172";1;4;28;54;2038778
"173";1;4;29;73;2020919
"174";1;4;30;64;2004656
"175";1;4;31;58;1957899
"176";1;4;32;59;1968803
"177";1;4;33;73;1963058
"178";1;4;34;54;1992133
"179";1;4;35;53;2073862
"180";1;4;36;58;2052603
"181";1;5;1;178;1814863
"182";1;5;2;144;1768012
"183";1;5;3;139;1733648
"184";1;5;4;118;1759446
"185";1;5;5;129;1808967
"186";1;5;6;136;1858764
"187";1;5;7;125;1701703
"188";1;5;8;72;1611500
"189";1;5;9;111;1581859
"190";1;5;10;82;1627209
"191";1;5;11;94;1599336
"192";1;5;12;115;1675690
"193";1;5;13;94;1685561
"194";1;5;14;77;1736786
"195";1;5;15;77;1798198
"196";1;5;16;73;1825479
"197";1;5;17;77;1846700
"198";1;5;18;74;1856991
"199";1;5;19;79;1822061
"200";1;5;20;87;1886255
"201";1;5;21;86;1900261
"202";1;5;22;67;1912261
"203";1;5;23;85;1949402
"204";1;5;24;69;2005393
"205";1;5;25;64;2091867
"206";1;5;26;62;2106895
"207";1;5;27;67;2099999
"208";1;5;28;69;2072627
"209";1;5;29;72;2048870
"210";1;5;30;66;2023452
"211";1;5;31;45;2013536
"212";1;5;32;63;1966784
"213";1;5;33;64;1977675
"214";1;5;34;65;1967302
"215";1;5;35;50;1999277
"216";1;5;36;56;2081193
"217";1;6;1;172;1924328
"218";1;6;2;148;1823972
"219";1;6;3;147;1775904
"220";1;6;4;142;1739690
"221";1;6;5;109;1765972
"222";1;6;6;141;1814421
"223";1;6;7;128;1862542
"224";1;6;8;107;1706027
"225";1;6;9;101;1615247
"226";1;6;10;89;1590999
"227";1;6;11;74;1631031
"228";1;6;12;83;1602374
"229";1;6;13;78;1677322
"230";1;6;14;79;1686787
"231";1;6;15;92;1737754
"232";1;6;16;93;1798421
"233";1;6;17;88;1825219
"234";1;6;18;84;1846815
"235";1;6;19;58;1855974
"236";1;6;20;70;1822535
"237";1;6;21;58;1885601
"238";1;6;22;70;1900924
"239";1;6;23;65;1914462
"240";1;6;24;67;1950097
"241";1;6;25;65;2005556
"242";1;6;26;78;2092341
"243";1;6;27;57;2106938
"244";1;6;28;58;2100492
"245";1;6;29;65;2071922
"246";1;6;30;63;2056967
"247";1;6;31;54;2032792
"248";1;6;32;67;2022882
"249";1;6;33;62;1976125
"250";1;6;34;57;1973795
"251";1;6;35;53;1974832
"252";1;6;36;52;2007002
"253";1;7;1;129;2029736
"254";1;7;2;138;1946311
"255";1;7;3;115;1848116
"256";1;7;4;132;1801922
"257";1;7;5;105;1769713
"258";1;7;6;107;1799189
"259";1;7;7;93;1850960
"260";1;7;8;97;1905153
"261";1;7;9;103;1748870
"262";1;7;10;111;1660137
"263";1;7;11;84;1620089
"264";1;7;12;128;1657479
"265";1;7;13;75;1625218
"266";1;7;14;76;1698460
"267";1;7;15;64;1705710
"268";1;7;16;63;1754430
"269";1;7;17;86;1812782
"270";1;7;18;56;1837517
"271";1;7;19;72;1855559
"272";1;7;20;65;1863790
"273";1;7;21;58;1832932
"274";1;7;22;74;1899185
"275";1;7;23;80;1917930
"276";1;7;24;67;1932198
"277";1;7;25;49;1969564
"278";1;7;26;58;2027769
"279";1;7;27;70;2117903
"280";1;7;28;64;2133781
"281";1;7;29;48;2128808
"282";1;7;30;48;2094623
"283";1;7;31;47;2066011
"284";1;7;32;60;2041859
"285";1;7;33;59;2031932
"286";1;7;34;62;1985755
"287";1;7;35;54;1981128
"288";1;7;36;47;1982318
"289";1;8;1;141;2026653
"290";1;8;2;131;2002702
"291";1;8;3;111;1915608
"292";1;8;4;122;1813938
"293";1;8;5;92;1765690
"294";1;8;6;101;1729528
"295";1;8;7;100;1753341
"296";1;8;8;88;1801291
"297";1;8;9;74;1850438
"298";1;8;10;103;1702308
"299";1;8;11;78;1606578
"300";1;8;12;77;1566118
"301";1;8;13;72;1600616
"302";1;8;14;72;1568656
"303";1;8;15;69;1639115
"304";1;8;16;59;1644732
"305";1;8;17;75;1691020
"306";1;8;18;75;1747411
"307";1;8;19;66;1769440
"308";1;8;20;62;1795717
"309";1;8;21;69;1810044
"310";1;8;22;55;1788464
"311";1;8;23;53;1861423
"312";1;8;24;60;1885742
"313";1;8;25;62;1906153
"314";1;8;26;52;1951052
"315";1;8;27;57;2017297
"316";1;8;28;43;2114161
"317";1;8;29;53;2135753
"318";1;8;30;56;2138227
"319";1;8;31;59;2103531
"320";1;8;32;51;2074928
"321";1;8;33;54;2050769
"322";1;8;34;57;2031648
"323";1;8;35;56;1992941
"324";1;8;36;55;1988493
"325";1;9;1;130;2090131
"326";1;9;2;109;2065242
"327";1;9;3;116;2044981
